food,pricerange,area,name,utts
,,,la raza,I would like to find a restuarant called La Raza. Will you help me?
,moderate,centre,,I am looking for a moderate priced restaurant in the centre of town please.
austrian,,,,I want a place with austrian food.
,expensive,,,looking for an expensive restaurant
crossover,expensive,,,Can you help me find a very expensive place to eat that serves crossover food?
,moderate,east,,I am looking for a moderately priced restaurant that is in the east part of town.
kosher,,west,,"Hello, I am looking for a restaurant on the west side of town that serves kosher food."
turkish,,centre,,I am looking for a place to eat that's in the centre and serves Turkish food. Can you help me?
cuban,cheap,,,I am looking for a cheap restaurant that serves Cuban food.
indian,,,,Hi. I would like help finding an indian restaurant to eat at.
,moderate,centre,,I want to find a moderate priced place to dine in the centre of town.
basque,dontcare,,,I want to find a restaurant serving basque food. I don't care about the price range
,,,,I need a place to dine for my upcoming trip. I can't wait to try some of your local restaurants.
,expensive,centre,,Are there any expensive restaurants that are centrally located?
,,,stazione restaurant and coffee bar,Hi! I'm looking for a restaurant called Stazione Restaurant and Coffee Bar.
,expensive,east,,Can you recommend me a restaurant in the expensive priced range located in the east part of town?
seafood,cheap,,,"Hi , can you recommend an inexpensive seafood restaurant?"
,moderate,,,Hi. I'm looking for a moderately priced restaurant.
seafood,expensive,,,Is there any expensive seafood restaurant in town?
indian,cheap,,,I am looking for an Indian restaurant that is in a cheap price range
,moderate,centre,,I would like a place to eat in the moderate price range located in the centre.
christmas,,,,I'm looking for a place to eat christmas food
,,south,,I am looking for a restaurant in the south.
,expensive,west,,"Yes, I need some help looking for a restaurant. The restaurant should be located in the west, and the food should be in the more expensive price range if at possible."
lebanese,moderate,,,I would like a moderately priced restaurant that serves lebanese food
indian,,west,,Can you help me find a indian restaurant in the west?
,,centre,,I am looking for a place to dine near the centre.
swiss,,,,Where can I get Swiss food in town?
,expensive,,,I am looking for an expensive restaurant.
english,moderate,,,I'm looking for a local restaurant to dine at that serves english food and is moderately priced.
chinese,,north,,I need to find a Chinese food restaurant to dine at located in the north. Can you help?
,expensive,centre,,"Hi, can you help me find an upscale restaurant in Cambridge that is centrally located?"
,,,,I need to find a place to dine in at in Cambridge later.
,,,,I would like to find a place to eat dinner.
chinese,,centre,,I am looking for a place to dine that serves chinese food and located in the centre.
,cheap,,,I would like a cheap restaurant.
,,,yippee noodle bar,I am looking for a restaurant called yippee noodle bar.
italian,,centre,,Hi. I'm looking for an Italian restaurant in the centre of the city?
chinese,,west,,"Hi, I'm looking for good Chinese food on the west side."
modern european,,centre,,"Hello, I'm looking for a modern european restaurant in the center."
,moderate,east,,Yes. I would like a moderately priced restaurant in the east part of town.
middle eastern,,,,Are there any restaurants serving middle eastern food?
,,,clowns cafe,I am looking forward to try a local restaurant in Cambridge and I have clowns cafe particularly in my mind. Can you assist to book a table for me?
scottish,moderate,,,I am looking for a moderately priced Scottish restaurant
,expensive,centre,,I need an expensive restaurant in the centre.
korean,,centre,,I need to find a restaurant that serves korean food located in the centre of town.
south indian,,centre,,I am looking for a restaurant in the center of town that would serve South Indian food.
chinese,expensive,,,I'm looking for an expensive Chinese food restaurant. Can you help me?
seafood,,centre,,I want to find a seafood restaurant in the centre
,expensive,south,,I would like an expensive restaurant in the south part of town
asian oriental,,centre,,"I'd like a restuarant with Asian Oriental food located in the centre, please."
,cheap,north,,Im looking for a restaurant in the north part of town in the cheap price range
,,,ali baba,Can I get some information on the Ali Baba restaurant?
,expensive,centre,,I am looking for an expensive restaurant in the centre
gastropub,moderate,,,I am looking a place serving gastropub in the moderate price range.
,moderate,east,,I'm looking for a restaurant in the moderate price range in the east part of town
,cheap,centre,,"I need help finding a very cheap restaurant located in the centre, can you help me?"
indian,,,,Please find a place to eat that serves Indian food.
indian,,north,,I am looking for indian food in the north part of town.
,,south,,restaurant on the south side please
,expensive,centre,,I need an expensive restaurant in the centre
,moderate,centre,,I am looking for a place to dine. The restaurant should be in the centre and should be in the moderate price range.
french,,,,"There are French restaurants in Cambridge, right?"
,moderate,,,I'm looking for a moderately-priced place to eat.
,,north,,Can you find me a restaurant in the north part of the city?
,,,taj tandoori,Do you have information on Taj Tandoori?
americas,,,,I'm looking for a restaurant that serves americas food.
,cheap,west,,I would like a cheap restaurant in the west part of town
brazilian,,,,I would like a restaurant that serves brazilian food
singaporean,,centre,,I'm looking for a restaurant in the center of town that serves Singaporean food. Do you have any suggestions?
indian,cheap,,,I'm looking for a cheap indian restaurant please.
,,,yu garden,Can you give me information about the Yu Garden? It's a restaurant my sister recommended.
dontcare,cheap,north,,"Hi! I'm looking for a cheap restaurant in the north, any type!"
,,,,"Hi, can you help me with my planning? I am looking for a restaurant."
,moderate,east,,"I'd looking for a good restaurant on the east side. I'd prefer the moderate price range, if possible."
indonesian,expensive,,,I am looking for an expensive restaurant that serves Indonesian food.
portuguese,cheap,,,"Hello I am looking for a nice restaurant nearby that serve Portuguese , but I would also like the prices very affordable"
french,expensive,,,Is there an expensive French restaurant in town?
,moderate,north,,I would like a moderately priced restaurant in the north part of town
brazilian,moderate,,,I would like a moderately priced restaurant that serves brazilian food
chinese,cheap,,,I want to find a Chinese restaurant in the cheap price range.
chinese,cheap,south,,Can you help me find a cheap restaurant in the south that serves Chinese?
eritrean,,,,Are there any eritrean restaurants in town?
persian,,centre,,I want to find a restaurant in the centre part of town and serves persian food.
,moderate,centre,,Please help me find a moderately priced restaurant located in the centre. Thanks.
malaysian,cheap,,,"Hello, I am looking for a cheap restaurant that serves Malaysian food."
polish,,centre,,"There aren't any Polish restaurants in the centre, are there?"
irish,expensive,,,i would like an expensive restaurant that serves irish food
,,,pizza hut city centre,"Yes, I need help locating Pizza Hut City Centre."
greek,,south,,I need a south restaurant with some greek food.
,moderate,centre,,"Hi, I need a place to eat in the centre for a medium price range. What do you have that you can suggest?"
,,,j restaurant,Can you tell me about the J Restaurant?
,cheap,centre,,Are there any cheap restaurants in the centre that I can try?
scandinavian,,south,,I want to find a restaurant in the south part of town and serves scandinavian food.
persian,expensive,centre,,I need an expensive restaurant that serves Persian food in the town center.
,,,,Can you find a place to dine for me?
portuguese,cheap,,,I would like a cheap restaurant that serves portuguese food
,expensive,west,,I am looking for a restaurant. The restaurant should be in the west and should be in the expensive price range
cantonese,,,,Can you recommend some cantonese food in Cambridge please?
,moderate,,,Hi! Can you find me a moderately priced restaurant for my girlfriend and I?
,moderate,south,,I want to find a moderately priced restaurant in the south part of town.
lebanese,expensive,,,"Hello, I am looking for an expensive restaurant that serves Lebanese food."
,,south,,I would like a nice place to dine in the south area.
,cheap,west,,I'm looking for a cheap restaurant in the west area.
jamaican,,centre,,I want a jamaican food restaurant in the centre part of town.
,,,ali baba,"Yes, I need information on the restaurant Ali Baba."
hungarian,,east,,"Hello, I am looking for a Hungarian restaurant on the east side of town."
,,,darrys cookhouse and wine shop,"Hi there, I'm looking for information on Darry's Cookhouse and Wine Shop."
,,,,Okay I'm looking for a restaurant today.
,,,riverside brasserie,I'm looking for a place called riverside brasserie
,moderate,west,,Yes. I am looking for a moderately priced restaurant in the west part of town.
,,west,,I am looking for a place to dine in the west.
mexican,expensive,,,I am excited to be coming and would love to find an expensive mexican restaurant.
mediterranean,expensive,,,expensive mediterranean restaurant please
thai,,north,,"Hello, I am looking for a thai restaurant on the north side of town."
,,,the gardenia,"Hi, can you please give me information on the restaurant The Gardenia?"
,,,restaurant one seven,Hello! I'm looking for information on Restaurant One Seven.
brazilian,,,,I would like a restaurant that serves brazilian food
chinese,moderate,,,I'm looking for a medium priced Chinese restaurant.
,cheap,north,,I am looking for a cheap restaurant that is in the north part of town.
irish,expensive,,,"Hello, I am looking for an expensive restaurant that serves Irish food."
,,,curry king,Can you please tell me how to get to the Curry King restaurant please?
italian,,south,,I am looking for Italian food on the south side of the city.
mediterranean,,dontcare,,"I would like a mediterranean restaurant, and I don't care what part of town it is in."
seafood,expensive,,,"Hi, I want to eat at an expensive seafood restaurant in Cambridge. Where can I go?"
,cheap,west,,Can you help me find a cheap restaurant in the west side of town?
,,,golden curry,Hi! Can you give me some information on the Golden Curry restaurant?
,,,golden curry,"Hi, what can you tell me about a restaurant called the golden curry?"
,,,darrys cookhouse and wine shop,I'm hoping you can help me dig up some information about darrys cookhouse and wine shop.
,expensive,east,,I'd like to find an expensive restaurant in the east part of town.
indian,,,,"Hi, I am looking for some information for my upcoming trip. Specifically, I am looking for an Indian restaurant."
north american,,centre,,Are there restaurants in the city centre which serve North American cuisine?
,cheap,east,,I need a really inexpensive restaurant on the east side.
,expensive,east,,I am looking for a restaurant that is expensive and is in the east part of town.
austrian,,centre,,I'm looking to dine at a restaurant in the centre that serves Austrian food. Can you help?
,moderate,centre,,Could you help me find a moderate priced restaurant in the centre?
fusion,moderate,,,"Hello, I am looking for a moderately priced restaurant that serves fusion food."
singaporean,,south,,I want to find a restaurant in the south part of town serving singaporean food.
,expensive,centre,,I need a expensive restraint om cambridge in the centre
,cheap,north,,I'm looking for a restaurant. The restaurant should be in the cheap price range and should be in the north.
,expensive,centre,,I'm trying to figure out my eating options. Are there any expensive restaurants in the centre?
,expensive,,,Any fancy restaurants in town?
african,,,,"Hello. I would like to know if you serve African food. If you do, can I please get the address, phone number and postcode of the venue?"
swedish,,,,I'm looking for a restaurant that serves swedish food
,,,shiraz,I want to find a place called Shiraz Restaurant please.
,moderate,east,,I'd like a moderately priced restaurant in the east part of town.
,,north,,north part of town restaurant please
,moderate,,,I want a moderately priced restaurant please.
austrian,,south,,I'm looking for a restaurant in the south that serves austrian food.
russian,,centre,,"Hi, I am looking for a restaurant in the centre area where I can eat russian food."
modern european,,centre,,I am looking for a place to dine that serves modern European food that is located in the Centre. What is your suggestion for this type of restaurant?
italian,moderate,,,Yes I am looking for a moderately priced Italian restaurant.
halal,,,,Hi. Can you tell me if any restaurants in the area serve halal food?
,,,ian hong house,I am looking for Ian hong house
swiss,,west,,i am looking for a place to dine. The restaurant should be in the west and should serve swiss food.
spanish,,,,I'm looking for a restaurant the serves spanish food.
,,,royal spice,"I've heard about Royal Spice, is it a very good restaurant? What is the price like?"
japanese,,,,"Hello, I am looking for a restaurant that serves Japanese food."
indian,cheap,,,Is there any place serving cheap indian food?
,expensive,centre,,I'm looking for a place to dine. The restaurant should be in the expensive price range and should be in the centre.
catalan,dontcare,,,I am looking for a restaurant that serves Catalan food in any price range.
asian oriental,,centre,,I am looking for a restaurant in the center that serves asian oriental food.
corsica,expensive,,,I am looking for expensive Corsica food.
,moderate,west,,"A moderately priced restaurant in the west part of town, please. Give me their address and phone number, too."
european,expensive,,,Are there any expensive european restaurants around?
creative,,centre,,i am looking for a place to eat in the centre that serves creative food.
austrian,,,,Could you help me find an Austrian restaurant please?
asian oriental,cheap,,,I am looking for a cheap Asian Oriental restaurant.
,,,grafton hotel restaurant,"Hi there. I've heard great things about the Grafton Hotel Restaurant. Can you find me some details about it, please?"
,cheap,north,,I would like to find a cheap restaurant. It should be in the North side of town.
,,,,I am looking for a restaurant.
,,,nandos city centre,"I am looking for Nandos city centre in Cambridge, can you give me directions?"
,,,,"Hi, I need a recommendation for a restaurant in town."
latin american,moderate,,,"I'd like to get some Latin American food, nothing cheap, but shouldn't be expensive either."
russian,moderate,,,Find me a moderately cheap restaurant in Cambridge that serves russian food
italian,cheap,,,I looking for an Italian restaurant that offers cheap food.
,,,charlie chan,I'm looking for a particular restaurant called charlie chan.
,cheap,west,,I'm looking for a cheap restaurant in the west.
austrian,moderate,,,I want to find a moderate price restaurant and serving austrian food.
,moderate,south,,"I am looking for a moderately priced restaurant in the south part of town, please."
halal,,centre,,Is there a restaurant in the centre of town serving halal food?
british,,west,,Can you find a restaurant in the west that serves british food?
,,,pizza express fen ditton,"I'm looking for a restaurant called pizza express Fen Ditton, do you have any information on it?"
,,,,I'm looking for somewhere to dine in Cambridge.
chinese,,,,Is there any chinese food around me right now?
italian,,west,,I am looking for an Italian restaurant in the west part of town. Could I also get the phone number and address of the restaurant?
indian,,,,"Hi, I'd like to try some Indian food. What do you have?"
lebanese,expensive,,,I'm looking for a Lebanese restaurant that is expensive in price.
,expensive,south,,Yes I am looking to find a restaurant that is expensive in the south of town.
french,moderate,,,"Can you recommend a restaurant that serves French food? Not too expensive, please."
,expensive,east,,Can you tell me about any expensive places to dine in the east side?
,cheap,centre,,Hi can you help me find a cheap restaurant in the centre of town?
,expensive,centre,,I'm looking for an expensive restaurant in the Centre. Can you help me find one?
,cheap,east,,I am looking for a cheap restaurant in the east part of town.
,cheap,centre,,"Hello. I'm looking for a place to dine tonight. I wouldn't like anything expensive, and I'd prefer something in the city center."
chinese,cheap,,,I'm looking for a good Chinese place with a cheap price range.
international,moderate,,,"Hi. I am looking for international food, hopefully someplace moderately priced."
spanish,,dontcare,,"I am looking for a restaurant in any area that serves spanish food, what is available?"
chinese,,,,I am looking for a chinese restaurant.
,cheap,centre,,I am looking for a cheap restaurant in the centre part of town.
,,,restaurant one seven,Please provide me information on the restaurant one seven.
,expensive,south,,I'm looking for a nice expensive restaurant in the south part of town
,,,,Hi. Can you help me find a restaurant?
,,,kohinoor,I'm looking for some info on kohinoor.
corsica,,,,I want a restaurant with corsica food please.
,,centre,,What are the nicest restaurants in the center of town?
,,,,Hello! Can you help me find a particular restaurant?
basque,,north,,"I'm looking for a restaurant in the north that serves basque food, please."
,moderate,centre,,I am looking for a restaurant in the centre that offers moderate pricing.
turkish,expensive,,,Can you help me find a Turkish restaurant in the expensive price range please?
italian,,south,,I need a place to eat in the south that serves italian food.
japanese,,centre,,I want to find a restaurant in the centre and serving japanese food.
,expensive,east,,I would like an expensive restaurant in the east part of town
chinese,,centre,,i am looking for a place to dine. The restaurant should serve Chinese food and should be in the center.
,moderate,south,,"Hi, I'm looking for a moderately priced restaurant in the south part of town."
chinese,,,good luck,Hi I am looking for some information on the good luck chinese food takeaway.
,cheap,centre,,"Hi, I am looking for a cheap restaurant in the town centre?"
,,,,I am looking for somewhere to dine during my trip to Cambridge.
,moderate,north,,"Hello, I am looking for a moderately priced restaurant on the north side of town."
,,,restaurant one seven,I am looking for a particular restaurant. Its name is called restaurant one seven
,,north,,I need a place to eat in the north area of the city.
,moderate,south,,I am looking for a moderately priced restaurant in the south part of town.
,,west,,I am hoping to find a great place to dine while visiting the west area of cambridge.
,moderate,north,,Is there a moderately priced restaurant in the north part of town?
irish,moderate,,,A moderate priced irish food restaurant.
indian,expensive,,,I am looking for an expensive Indian restaurant in Cambridge.
,,,hakka,Help me find a restaurant called hakka please
,cheap,north,,"I am in the north part of town, can you tell me what cheap restaurants are around?"
modern european,moderate,,,I am looking for a restaurant that serves Modern European food at a reasonable price.
european,,,,Get me a restaurant that serves european food.
,moderate,centre,,"Good Morning, Can you help me locate a moderate priced restaurant in the centre part of town please?"
christmas,,north,,I want to find a restaurant in the north part of town that serves christmas food.
,,,saffron brasserie,Where is this saffron brasserie located?
,,,sala thong,"Hi, I'm trying to find a restaurant called sala thong."
chinese,,centre,,Help me find a chinese place to dine in the centre please.
,,,,"Hello, could you please find me a place to dine?"
italian,,,,"I need a good place to eat dinner. I Like Italian, what do you suggest?"
chinese,,centre,,I want to eat chinese food in the centre.
swedish,expensive,,,I am looking to find a restaurant that serves swedish food and expensive.
,,,pizza express fen ditton,Can you help me locate a restaurant called Pizza Express Fen Ditton?
asian oriental,,centre,,Is there a place in the centre that serves asian oriental food?
chinese,,centre,,Hello! Are there any chinese restaurants in the centre?
,moderate,north,,I am looking for a restaurant that is moderately priced and in the north part of town.
indian,,centre,,I am looking for a place in the centre of town serving indian food.
british,,centre,,Are there any British restaurants in the center of town?
crossover,,,,I need a place to dine on crossover food. It should be in the centre
australian,,south,,Are there any Australian food places in the south part of town?
creative,cheap,,,I need a cheap restaurant that serves creative food.
french,moderate,,,Find me a moderately priced french restaurant
,moderate,east,,Can I get the address and cuisine type of a moderately priced restaurant in the east part of town?
british,,east,,I'm looking for a british restaurant in the east.
,cheap,west,,am looking for a restaurant. The restaurant should be in the west and should be in the cheap price range
,expensive,centre,,I am looking for a high scale restaurant located in the city centre.
british,dontcare,east,,I'm looking to eat at a place that serves british food in the east part of town.
portuguese,cheap,,,"I want a cheap portuguese restaurant. Give me their address, phone number, and area, please."
,moderate,north,,I want something in the north part of town. Moderately priced.
indian,expensive,,,Good Afternoon. I am trying to find an Indian restaurant to eat at. I would prefer something expensive. Can you help me?
thai,,centre,,I'd like to find a Thai restaurant in the center.
indian,,,,"Hi, I'll be traveling to Cambridge soon and would like to find a restaurant that serves Indian food."
,,,sitar tandoori,"Im looking for a restaurant called sitar tandoori, can you help?"
,,,,I'm looking for a restaurant recommendation.
,,east,,I'm looking for a place to eat in the east side of the city.
,,,la margherita,"I'm trying to find information on a particular restaurant, it is called la margherita."
,expensive,east,,I am looking for an expensive restaurant in the east part of town.
korean,,centre,,I am looking for a korean restaurant in the centre.
,moderate,,,"Hi, I want a moderately priced restaurant."
,,,la raza,"I wanted to visit the restaurant named La Raza, could you tell me the hours it is open, and if I should try to book a reservation?"
,cheap,centre,,"Hi I'm looking for a restaurant in the center, one that is inexpensive."
north american,,dontcare,,"I'd like to find a north american restaurant in any area. I'd like the address, phone, and price range."
chinese,moderate,,,Can you find me a Chinese restaurant with moderate prices?
malaysian,expensive,,,I'm looking for a place to eat. I want expensive malaysian food. Can you help?
,moderate,,,looking for a restaurant in the moderate price range
malaysian,,,,I am looking for a Malaysian restaurant to visit during my upcoming trip to Cambridge.
,expensive,centre,,Hi I am looking for an expensive restaurant in the centre of town.
portuguese,,south,,I am looking for a restaurant in the south part of town and serving portuguese food. What is the address and phone number?
,,,dojo noodle bar,Hello! Can you please give me information about Dojo Noodle Bar?
north indian,,centre,,I am looking for a north indian food restaurant in the town centre.
chinese,,,,Can you help me find a chinese restaurant?
italian,moderate,,,Hi I'm looking to find a moderate priced place to eat serving Italian food
,moderate,south,,Hi. Can you please help me find a moderately priced restaurant in the South part of town?
,moderate,south,,Hello! Can you recommend a moderately priced restauarnt near the south part of town?
,cheap,,,"Hello, I'm looking for some cheap restaurant recommendations."
,,,royal standard,"Hello, I'm planning a trip to Cambridge and looking to make a reservation at a restaurant called the ""Royal Standard"". Can you get me the information for that restaurant please?"
,expensive,south,,I am looking for a place to dine. The restaurant should be in the expensive price range and should be in the south of town
,cheap,centre,,I'm looking for a restaurant that is cheap and is in the centre. Can you help me?
,,,galleria,"Hi, I'm looking for information on a particular restaurant called Galleria."
modern european,moderate,,,I am looking for a restaurant in the moderate price range serving modern European food.
modern european,moderate,,,I need a place for a modern european food. Moderate range ought to do it. Thank you.
,,centre,,I am looking for a restaurant in the centre of town.
,expensive,centre,,I want to find an expensive restaurant located in Cambridge centre.
,,,rajmahal,I am looking to eat at Rajmahal.
turkish,,,,how about a turkish restaurant?
,,,city stop restaurant,I am in Cambridge and would like to try the restaurant City Stop Restaurant.
pizza,moderate,,,I am looking for a reasonably priced pizza place. Can you help?
international,,east,,I am looking for an international restaurant in the east part of town.
,,,de luca cucina and bar,"Hello, what can you tell me about de luca cucina and bar?"
turkish,,centre,,I'm looking for a restaurant in the center that serves Turkish food
cantonese,expensive,,,"Hello, I am looking for an expensive restaurant that serves cantonese food."
asian oriental,cheap,,,I'm looking for a restaurant that serves asian oriental food in cheap range.
,expensive,centre,,I'm looking for an expensive restaurant in the centre.
,cheap,north,,Im looking for a restaurant in the north part of town in the cheap price range
,cheap,,,Looking for a cheap restaurant.
northern european,,east,,I need a place to dine during my trip. It needs to be in the east and serve northern european food.
christmas,,south,,I'm looking for a restaurant in the south serving christmas food. Can you help me?
indian,,east,,Yes I am looking for a restaurant in east cambidge that serves indian food
british,expensive,,,I need to find an expensive british place to dine.
halal,moderate,,,"I want to find a place that serves halal food. Can you help me? Not too expensive, please."
,,,hotel du vin and bistro,"Hello, I am looking for a restaurant called hotel du vin bistro."
austrian,moderate,,,I am looking for a place to eat some moderate priced austrian food.
italian,,centre,,Please help me find a restaurant that serves Italian food located in the centre. Thanks.
chinese,expensive,,,I'm looking for a restaurant that is high end chinese.
,,,,I am looking for a restaurant to dine in during my visit to Cambridge.
italian,,centre,,I'm looking for a restaurant in the centre that serves Italian food.
british,expensive,dontcare,,"I'm looking for an expensive place to eat that serves British food, are there any in town?"
fusion,,west,,"Hi, are there any fusion restaurants on the westside?"
,,,restaurant one seven,Can you help me find Restaurant One Seven?
,cheap,south,,"HI, I am looking for a cheap restaurant in the south of the city."
greek,expensive,,,I'm looking for a greek restaurant that is moderately expensive.
austrian,,centre,,I'm looking for a restaurant the serves austrian food in the centre.
,expensive,south,,I want to find an expensive restaurant in the south part of town. What is the address and phone number?
thai,,centre,,Is there a thai restaurant in the centre of town?
turkish,,,,I need a restaurant that serves Turkish food.
,moderate,west,,I am looking for a restaurant in the west part of town and is in the moderate price range.
,expensive,south,,Find me an expensive restaurant in the south please.
danish,,,,Hi. I'm trying to find a restaurant that serves Danish food.
,,dontcare,nandos,I am looking for the restaurant Nandos.
,moderate,east,,I want a moderately priced restaurant in the east part of town. What is the phone number?
,moderate,,,looking for a restaurant in the moderately priced range
kosher,expensive,,,I would like to find somewhere with expensive Kosher food.
,expensive,south,,I would like an expensive restaurant in the south part of town
sri lankan,expensive,,,I'm looking for an expensive Sri Lankan restaurant.
,,,,"Sure, I want some help finding a restaurant in Cambridge, please."
,,,,I need help finding a restaurant please.
,,east,,one in the East part of town
,moderate,east,,Hi I want to find a place to eat in the moderate price range in the east part of town.
,expensive,east,,I am looking for an expensive restaurant that is in the east part of town.
,moderate,south,,I would like a moderately priced restaurant located in the south part of town.
halal,moderate,,,I'm looking for a halal restaurant with moderate prices.
spanish,,,,I'm looking for a restaurant that serves spanish food
indian,,,,I'm looking for a restaurant that serves indian food.
italian,,centre,,"Hello! I would like to get some Italian food, somewhere in the center of town."
morrocan,,,,I need a morrocan food place. Are there any around here?
malaysian,,,,I am looking for a restaurant serving malaysian food.
,cheap,south,,I'm looking for a restaurant in the south that is cheap.
,expensive,south,,"Hello, I'm trying to find an expensive restaurant in the south. Suggestions?"
mexican,,south,,I am looking for a mexican restaurant in south cambridge
,cheap,,,I am looking for a cheap restaurant to have a meal.
,,,la margherita,I'm looking for information on a restaurant called La Margherita.
vietnamese,,centre,,"I need to find a restaurant in the center of town. A place offering Vietnamese food, if possible."
tuscan,,north,,I'm looking for a restaurant on the north side of town that serves tuscan food.
,,,da vinci pizzeria,I want to find some information on da vinci pizzeria
,cheap,,,"cheap restaurant, please"
,cheap,south,,A cheap restaurant in the south part of town
,,,rice boat,I'm looking for a particular restaurant. Its name is called rice boat.
,moderate,north,,Can you recommend me a moderate priced restaurant in the north part of town?
catalan,moderate,,,Could you tell me whether there are any moderately priced catalan restaurants?
british,expensive,,,Can you help me find an expensive restaurant that serves British food?
chinese,expensive,,,I am looking for an expensive priced Chinese restaurant
mediterranean,,,,I am looking for a restaurant serving mediterranean food.
caribbean,,south,,I need some Caribbean food in the south part of town.
italian,expensive,,,I am looking for an Italian restaurant in the expensive price range.
,,,panahar,I'm looking for a particular restaurant. Its name is called panahar.
catalan,moderate,,,Can you direct me to a Catalan restaurant that is moderately priced please?
african,,,,I am looking for african food
thai,,,,Could you help me find a thai restaurant?
danish,cheap,,,I'm looking for a cheap place to dine that also service danish food. Any suggestions?
european,,centre,,I am looking for a restaurant in the city center that serves modern European food.
irish,,,,Hi. I'm looking for a restaurant that serves Irish food. Can you help me?
steakhouse,moderate,,,I'm looking for a moderately priced steakhouse.
,,,cambridge lodge restaurant,I would like to book a reservation at the cambridge lodge restaurant
tuscan,,south,,"Hi, I am looking for a restaurant in the south that serves Tuscan food."
,expensive,west,,I need to find a restaurant in the west area and more on the expensive side.
,moderate,west,,Find me a moderately priced place to dine in the west.
bistro,moderate,,,I am looking for a restaurant in the moderate price range that serves bistro type food.
,,south,,I need the address and phone number of a restaurant in the south part of town.
,cheap,south,,Are there any cheap restaurants in the south part of town?
,moderate,north,,I'm looking for a moderately priced restaurant to eat at in the north.
,,,,I have a restaurant in mind that I'm trying to eat at tonight.
,,,golden wok,I'm looking for information about a restaurant named the golden wok.
,moderate,north,,I want a moderately priced restaurant in the north part of town. What is the address?
international,,,,"Hello, I am looking for a restaurant that serves international food."
turkish,,centre,,I am looking for a restaurant serving turkish food in the centre part of town.
,,,yu garden,I am looking for details on the yu garden restaurant.
,,,anatolia,I would like to find the Anatolia restaurant please.
,,,j restaurant,Can you get me information on a restaurant called j restaurant?
,,east,,I need a place to eat in the east.
european,moderate,,,"Hello, I am looking for a moderately priced restaurant that serves european food."
,moderate,,,I am in the past of town. Can you recommend a restaurant in a moderate priced range?
molecular gastronomy,moderate,,,I need a moderately priced restaurant that serves molecular gastronomy food please.
northern european,,,,"Hello, I am trying to locate a restaurant that serves northern European food, and I would prefer a more elegant setting."
,,,kymmoy,Can you get me information on a place called kymmoy?
mexican,,south,,I'm looking for a mexican restaurant in the south part of town.
,,centre,,Looking for a place to eat in the city center.
,,west,,I am looking for a restaurant in the west side of town.
european,,,,I am looking for the phone number and address of a restaurant that serves european food?
cantonese,expensive,,,"Hi, I'd like to find an expensive cantonese restaurant."
african,,,,"Hello, I am looking for a restaurant that serves African food."
,moderate,north,,"I am looking for a moderately priced restaurant in the north part of town, what do you have available?"
,,,golden house,Can you help direct me a restaurant called Golden House?
chinese,,,,"I'm looking for some Chinese food, any good places in town?"
turkish,moderate,,,"Hi, I'm trying to find a moderate turkish place to eat at. Is there anything like that?"
,expensive,centre,,"I'd like to know what my options are, as far as expensive restaurants in the city center."
,,east,,Looking for a restaurant in the East side of town
lebanese,moderate,,,I am looking for a restaurant in the moderate price range that serves Lebanese food.
indian,expensive,,,I need to find a place to dine in the expensive price range that serves indian food.
,cheap,centre,,I'd like to find a cheap restaurant in the center of town.
world,,east,,I need a restaurant in the east part of town that serves world food.
,expensive,,,Hi. I'm looking for a fancy restaurant that serves English food.
,expensive,centre,,Can you find me an expensive restaurant in the centre?
indian,,centre,,I'm looking for a place to dine. The restaurant should serve indian food and should be in the centre.
,moderate,south,,I am looking for a moderately priced restaurant in the south part of town.
mediterranean,,,,"Hi, I'd like a listing for a Mediterranean restaurant."
,,,cambridge chop house,I am looking for more information regarding the cambridge chop house.
danish,cheap,,,I'm looking for a cheap place to dine that serves danish food.
seafood,,dontcare,,I want to find a restaurant in any part of town and serves seafood.
,,,golden curry,Need a restaurant called the golden curry
caribbean,moderate,,,I am looking for a moderately priced restaurant that serves Caribbean food.
spanish,,centre,,Yes I would like to find Spanish food in the center of town.
persian,expensive,,,I am looking for a Persian restaurant with expensive price range food.
,expensive,east,,"Hello, I am looking for an expensive restaurant that is on the east side of town."
,moderate,south,,I am looking for a restaurant in the south part of town that is moderately priced.
british,,centre,,"Hi there, can you help me find a restaurant in the centre of town? Someplace with British food?"
north indian,moderate,,,I need to find a moderately priced north indian restaurant.
mexican,,south,,I need some tacos! Can you help me find a Mexican restaurant on the south side of the city?
afghan,,,,I want to have some afghan food.
,cheap,,,"Hello, I'm seeking a cheap restaurant."
african,,centre,,I am looking for a place to dine. The restaurant should serve african food and should be in the centre
italian,,west,,I am looking for an Italian restaurant in the west part of town
italian,,,,I need help finding a book on italian food
middle eastern,expensive,,,"Hi, i am looking for a middle eastern restaurant in the expensive price range."
,,,copper kettle,I'm looking for a restaurant called the copper kettle.
,,,,Know any good bites around here?
,,east,,Could you help me locate a restaurant in the east area of town?
european,moderate,,,Where can I find a moderately priced restaurant that serves European food?
latin american,,centre,,Is there a latin american restaurant in the center?
,expensive,centre,,I'm looking for an expensive restaurant in the centre please.
,,,,I can't find a restaurant I am looking for.
indian,,centre,,I am looking for a restaurant in the centre that serves indian food.
italian,,west,,I need the phone number of a restaurant in the west part of town that serves italian ood.
international,moderate,,,I need a restaurant in Cambridge that has international food and a moderate price range please.
,expensive,west,,Can you help me find and expensive restaurant in the west?
